stage,group,date,home,away,p_home,p_draw,p_away,lam_home,lam_away,exp_total_goals,favorite,confidence_band,openness,decisiveness,character
group,C,2026-06-19,SCO,MAR,0.2328,0.3342,0.433,0.497,0.51,1.006,MAR,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,C,2026-06-19,BRA,HAI,0.583,0.2918,0.1252,0.826,0.35,1.176,BRA,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,C,2026-06-24,MAR,HAI,0.4888,0.3367,0.1746,0.506,0.35,0.856,MAR,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,C,2026-06-24,SCO,BRA,0.18,0.298,0.522,0.507,0.832,1.338,BRA,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,D,2026-06-12,USA,PAR,0.4451,0.3416,0.2133,0.567,0.469,1.035,USA,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,D,2026-06-14,AUS,TUR,0.2561,0.3838,0.3601,0.387,0.506,0.893,TUR,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,D,2026-06-19,USA,AUS,0.418,0.3599,0.2221,0.545,0.436,0.981,USA,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,D,2026-06-19,TUR,PAR,0.385,0.364,0.251,0.526,0.417,0.942,TUR,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,D,2026-06-25,TUR,USA,0.2815,0.3353,0.3832,0.644,0.617,1.26,USA,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,D,2026-06-25,PAR,AUS,0.2871,0.3989,0.3139,0.368,0.356,0.724,,3-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — the models can't agree, a coin-flip that could easily end level."
group,E,2026-06-14,GER,CUW,0.6141,0.264,0.1219,1.075,0.38,1.455,GER,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,E,2026-06-14,CIV,ECU,0.2942,0.3806,0.3252,0.505,0.35,0.855,,2-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — a coin-flip that could easily end level."
group,E,2026-06-20,GER,CIV,0.5161,0.28,0.2038,1.075,0.626,1.701,GER,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,E,2026-06-20,ECU,CUW,0.4321,0.3727,0.1952,0.35,0.35,0.7,ECU,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,E,2026-06-25,CUW,CIV,0.2115,0.3486,0.4399,0.35,0.542,0.892,CIV,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,E,2026-06-25,ECU,GER,0.2056,0.3016,0.4928,0.392,1.002,1.394,GER,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,F,2026-06-14,NED,JPN,0.4255,0.3288,0.2457,0.753,0.51,1.263,NED,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,F,2026-06-14,SWE,TUN,0.3572,0.3737,0.2691,0.568,0.377,0.945,SWE,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,F,2026-06-20,NED,SWE,0.499,0.2928,0.2082,0.868,0.585,1.453,NED,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,F,2026-06-21,TUN,JPN,0.2248,0.3636,0.4116,0.35,0.495,0.845,JPN,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,F,2026-06-25,TUN,NED,0.1646,0.2986,0.5369,0.388,0.868,1.256,NED,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,F,2026-06-25,JPN,SWE,0.3808,0.3511,0.2682,0.495,0.493,0.988,JPN,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,G,2026-06-15,BEL,EGY,0.3944,0.322,0.2837,0.561,0.668,1.23,BEL,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,G,2026-06-15,IRI,NZL,0.4419,0.3277,0.2304,0.49,0.51,1.0,IRI,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,G,2026-06-21,BEL,IRI,0.4075,0.3341,0.2583,0.668,0.51,1.177,BEL,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,G,2026-06-21,NZL,EGY,0.2109,0.3224,0.4667,0.428,0.643,1.071,EGY,3-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — the models can't agree, a comfortable edge for the favorite."
group,G,2026-06-26,NZL,BEL,0.186,0.3188,0.4952,0.445,0.561,1.007,BEL,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,G,2026-06-26,EGY,IRI,0.3512,0.3367,0.3121,0.765,0.49,1.255,,3-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — the models can't agree, a coin-flip that could easily end level."
group,H,2026-06-15,ESP,CPV,0.5712,0.2875,0.1413,0.818,0.424,1.242,ESP,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,H,2026-06-15,KSA,URU,0.2159,0.3446,0.4395,0.441,0.484,0.925,URU,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,H,2026-06-21,ESP,KSA,0.5248,0.3031,0.1722,0.651,0.502,1.152,ESP,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,H,2026-06-21,URU,CPV,0.4894,0.3296,0.181,0.609,0.372,0.981,URU,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,H,2026-06-26,CPV,KSA,0.2682,0.3867,0.3451,0.35,0.473,0.823,KSA,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,H,2026-06-26,URU,ESP,0.2504,0.3032,0.4464,0.645,0.762,1.407,ESP,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,I,2026-06-16,FRA,SEN,0.4709,0.2821,0.2471,1.0,0.766,1.766,FRA,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
group,I,2026-06-16,IRQ,NOR,0.2281,0.3247,0.4472,0.35,0.858,1.208,NOR,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,I,2026-06-22,FRA,IRQ,0.5951,0.2784,0.1265,0.953,0.35,1.303,FRA,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,I,2026-06-22,NOR,SEN,0.3076,0.2966,0.3957,0.9,0.748,1.649,SEN,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
group,I,2026-06-26,NOR,FRA,0.225,0.265,0.51,0.878,0.953,1.831,FRA,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,I,2026-06-26,SEN,IRQ,0.4963,0.3191,0.1847,0.748,0.35,1.098,SEN,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,J,2026-06-16,ARG,ALG,0.5512,0.2762,0.1725,0.995,0.549,1.544,ARG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,J,2026-06-17,AUT,JOR,0.4754,0.3185,0.2061,0.755,0.422,1.177,AUT,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
group,J,2026-06-22,ARG,AUT,0.4882,0.2772,0.2345,0.896,0.775,1.671,ARG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,J,2026-06-22,JOR,ALG,0.2545,0.3449,0.4006,0.469,0.535,1.004,ALG,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,J,2026-06-27,ALG,AUT,0.2656,0.3424,0.392,0.482,0.755,1.237,AUT,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,J,2026-06-27,JOR,ARG,0.1378,0.2676,0.5946,0.481,0.995,1.476,ARG,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,K,2026-06-17,POR,COD,0.5346,0.277,0.1884,0.993,0.602,1.596,POR,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,K,2026-06-17,UZB,COL,0.2261,0.3252,0.4487,0.465,0.643,1.108,COL,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,K,2026-06-23,POR,UZB,0.5611,0.2812,0.1577,0.993,0.425,1.418,POR,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,K,2026-06-23,COL,COD,0.4237,0.3103,0.2661,0.643,0.66,1.303,COL,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,K,2026-06-27,COL,POR,0.2481,0.296,0.4558,0.658,1.114,1.772,POR,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
group,K,2026-06-27,COD,UZB,0.3457,0.3704,0.2839,0.589,0.415,1.003,COD,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
group,L,2026-06-17,ENG,CRO,0.4037,0.2945,0.3018,0.89,0.897,1.787,ENG,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
group,L,2026-06-17,GHA,PAN,0.2889,0.3479,0.3631,0.545,0.402,0.947,PAN,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
group,L,2026-06-23,ENG,GHA,0.5687,0.2764,0.1548,0.874,0.551,1.425,ENG,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,L,2026-06-23,PAN,CRO,0.1855,0.3075,0.5071,0.409,0.888,1.297,CRO,golden-zone,low-scoring grind,comfortable,"A tight, low-scoring grind — all three models agree, a comfortable edge for the favorite."
group,L,2026-06-27,PAN,ENG,0.1534,0.2739,0.5727,0.494,1.064,1.558,ENG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
group,L,2026-06-27,CRO,GHA,0.5251,0.3025,0.1723,0.729,0.456,1.186,CRO,2-way-split,low-scoring grind,comfortable,"A tight, low-scoring grind — a comfortable edge for the favorite."
R32,,,CZE,CAN,0.2957,0.3422,0.3621,0.507,0.697,1.204,CAN,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
R32,,,GER,BIH,0.5444,0.26,0.1956,1.075,0.79,1.865,GER,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R32,,,NED,MAR,0.3973,0.3359,0.2669,0.844,0.521,1.366,NED,golden-zone,low-scoring grind,competitive,"A tight, low-scoring grind — all three models agree, a competitive, winnable-either-way match."
R32,,,BRA,JPN,0.4306,0.3334,0.2361,0.717,0.491,1.208,BRA,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
R32,,,FRA,IRI,0.5612,0.27,0.1688,1.133,0.502,1.635,FRA,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R32,,,CIV,SEN,0.2474,0.3161,0.4366,0.569,0.748,1.317,SEN,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
R32,,,MEX,ECU,0.3726,0.3652,0.2622,0.56,0.377,0.937,MEX,3-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — the models can't agree, a competitive, winnable-either-way match."
R32,,,ENG,NOR,0.5022,0.2656,0.2323,0.991,0.931,1.922,ENG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R32,,,USA,ALG,0.4152,0.333,0.2518,0.628,0.592,1.219,USA,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
R32,,,BEL,KOR,0.401,0.355,0.244,0.518,0.433,0.951,BEL,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
R32,,,COL,CRO,0.2653,0.3217,0.4131,0.577,0.928,1.505,CRO,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
R32,,,ESP,AUT,0.4561,0.2854,0.2585,0.737,0.801,1.537,ESP,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
R32,,,SUI,SCO,0.4584,0.3214,0.2202,0.762,0.477,1.239,SUI,2-way-split,low-scoring grind,competitive,"A tight, low-scoring grind — a competitive, winnable-either-way match."
R32,,,ARG,URU,0.4802,0.2912,0.2286,0.927,0.625,1.551,ARG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R32,,,POR,PAN,0.5491,0.2812,0.1697,1.066,0.466,1.532,POR,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R32,,,TUR,EGY,0.3441,0.346,0.3099,0.582,0.632,1.214,,2-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — a coin-flip that could go to extra time or penalties."
R16,,,GER,FRA,0.3137,0.2709,0.4154,1.101,1.101,2.201,FRA,2-way-split,open,competitive,"An open, end-to-end affair — a competitive, winnable-either-way match."
R16,,,CAN,NED,0.2749,0.2956,0.4295,0.796,0.729,1.525,NED,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
R16,,,BRA,SEN,0.4063,0.31,0.2836,0.867,0.743,1.61,BRA,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
R16,,,MEX,ENG,0.2269,0.285,0.4881,0.652,1.101,1.753,ENG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R16,,,CRO,ESP,0.3112,0.2957,0.3931,0.877,0.734,1.611,ESP,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
R16,,,USA,BEL,0.3442,0.3364,0.3195,0.652,0.621,1.273,,3-way-split,low-scoring grind,coin-flip,"A tight, low-scoring grind — the models can't agree, a coin-flip that could go to extra time or penalties."
R16,,,ARG,TUR,0.5222,0.2794,0.1984,0.978,0.598,1.576,ARG,golden-zone,balanced,comfortable,"A balanced contest — all three models agree, a comfortable edge for the favorite."
R16,,,SUI,POR,0.2805,0.2973,0.4221,0.775,0.928,1.703,POR,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
QF,,,FRA,NED,0.4156,0.2885,0.2959,0.981,0.889,1.87,FRA,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
QF,,,ESP,USA,0.4436,0.2909,0.2655,0.904,0.665,1.57,ESP,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
QF,,,BRA,ENG,0.3132,0.2973,0.3895,0.896,0.984,1.88,ENG,golden-zone,balanced,competitive,"A balanced contest — all three models agree, a competitive, winnable-either-way match."
QF,,,ARG,POR,0.4022,0.2828,0.315,1.018,1.02,2.038,ARG,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
SF,,,FRA,ENG,0.3661,0.2926,0.3413,1.033,1.015,2.048,,2-way-split,balanced,coin-flip,A balanced contest — a coin-flip that could go to extra time or penalties.
SF,,,ESP,ARG,0.3162,0.307,0.3768,0.84,1.055,1.895,ARG,2-way-split,balanced,competitive,"A balanced contest — a competitive, winnable-either-way match."
FINAL,,,FRA,ARG,0.342,0.3035,0.3546,0.978,1.019,1.997,,2-way-split,balanced,coin-flip,A balanced contest — a coin-flip that could go to extra time or penalties.
